,Latitude,Longitude
0,41.5012768,-5.512293199999999
1,43.8041334,-120.5542012
2,44.3148443,-85.60236429999999
3,43.8041334,-120.5542012
4,42.817034,-1.6416672
5,40.1208752,9.012892599999999
6,48.3181795,7.441624099999999
7,37.68572080000001,-97.335374
8,48.3181795,7.441624099999999
9,36.778261,-119.4179324
10,48.3181795,7.441624099999999
11,36.778261,-119.4179324
12,36.778261,-119.4179324
13,49.1671789,6.2118023
14,37.09024,-95.712891
15,-34.5869034,-68.14314139999999
16,42.817034,-1.6416672
17,37.4315734,-78.6568942
18,37.4315734,-78.6568942
19,43.8041334,-120.5542012
20,40.1208752,9.012892599999999
21,36.778261,-119.4179324
22,40.1208752,9.012892599999999
23,36.778261,-119.4179324
24,40.1208752,9.012892599999999
25,40.1208752,9.012892599999999
26,40.1208752,9.012892599999999
27,36.778261,-119.4179324
28,43.8041334,-120.5542012
29,-34.6761419,-71.097317
30,43.8041334,-120.5542012
31,46.1134349,4.7263863
32,33.0024032,-97.2267761
33,46.1134349,4.7263863
34,-34.6761419,-71.097317
35,44.837789,-0.57918
36,36.778261,-119.4179324
37,-33.8088442,-70.7644236
38,47.7510741,-120.7401385
39,36.778261,-119.4179324
40,41.87194,12.56738
41,47.7510741,-120.7401385
42,48.9168895,4.151432499999999
43,36.778261,-119.4179324
44,47.0525047,4.3837215
45,47.0525047,4.3837215
46,47.7510741,-120.7401385
47,36.778261,-119.4179324
48,48.9168895,4.151432499999999
49,47.7510741,-120.7401385
50,36.778261,-119.4179324
51,40.5625825,15.4068079
52,36.778261,-119.4179324
53,36.778261,-119.4179324
54,36.778261,-119.4179324
55,37.68572080000001,-97.335374
56,-30.0002315,136.2091547
57,43.8041334,-120.5542012
58,-33.9444044,-71.7375831
59,42.5750554,-8.1338558
60,37.09024,-95.712891
61,-30.0002315,136.2091547
62,36.778261,-119.4179324
63,37.68572080000001,-97.335374
64,47.7510741,-120.7401385
65,36.778261,-119.4179324
66,43.7710513,11.2486208
67,43.7710513,11.2486208
68,36.778261,-119.4179324
69,36.778261,-119.4179324
70,36.778261,-119.4179324
71,47.15371649999999,16.2688797
72,47.7510741,-120.7401385
73,46.1134349,4.7263863
74,46.1134349,4.7263863
75,40.7127753,-74.0059728
76,43.7710513,11.2486208
77,36.778261,-119.4179324
78,40.7127753,-74.0059728
79,40.7127753,-74.0059728
80,40.7127753,-74.0059728
81,-33.61077240000001,-71.4572075
82,43.7710513,11.2486208
83,43.7710513,11.2486208
84,43.7710513,11.2486208
85,43.7710513,11.2486208
86,36.778261,-119.4179324
87,43.7710513,11.2486208
88,46.1134349,4.7263863
89,36.778261,-119.4179324
90,43.7710513,11.2486208
91,43.7710513,11.2486208
92,36.778261,-119.4179324
93,36.778261,-119.4179324
94,36.778261,-119.4179324
95,36.778261,-119.4179324
96,43.7710513,11.2486208
97,-30.0002315,136.2091547
98,-33.9321045,18.860152
99,-33.931612,18.870009
100,44.837789,-0.57918
101,36.778261,-119.4179324
102,36.778261,-119.4179324
103,36.778261,-119.4179324
104,36.778261,-119.4179324
105,37.68572080000001,-97.335374
106,36.778261,-119.4179324
107,36.778261,-119.4179324
108,38.2003808,-7.800084999999998
109,36.778261,-119.4179324
110,36.778261,-119.4179324
111,40.46366700000001,-3.74922
112,36.778261,-119.4179324
113,49.1671789,6.2118023
114,38.2003808,-7.800084999999998
115,43.7710513,11.2486208
116,,
117,36.778261,-119.4179324
118,36.778261,-119.4179324
119,-32.653179,-70.0108675
120,-33.8088442,-70.7644236
121,,
122,36.778261,-119.4179324
123,36.778261,-119.4179324
124,36.778261,-119.4179324
125,49.1671789,6.2118023
126,49.1671789,6.2118023
127,-35.6778298,-71.7681764
128,43.8041334,-120.5542012
129,-41.5916883,173.7624053
130,-33.8088442,-70.7644236
131,47.0525047,4.3837215
132,37.09024,-95.712891
133,-34.6761419,-71.097317
134,-34.6761419,-71.097317
135,-33.3182828,-71.4070899
136,-30.0002315,136.2091547
137,47.0525047,4.3837215
138,-33.2277918,21.8568586
139,36.778261,-119.4179324
140,36.778261,-119.4179324
141,45.92950219999999,11.5621417
142,31.6666667,35.1666667
143,38.2003808,-7.800084999999998
144,36.778261,-119.4179324
145,36.778261,-119.4179324
146,36.778261,-119.4179324
147,36.778261,-119.4179324
148,,
149,45.6402905,5.6864994
150,-33.2277918,21.8568586
151,45.6402905,5.6864994
152,42.817034,-1.6416672
153,36.778261,-119.4179324
154,36.778261,-119.4179324
155,32.8244321,35.5879975
156,43.7710513,11.2486208
157,39.4486999,-7.370348099999999
158,36.778261,-119.4179324
159,48.1172148,21.4089015
160,36.778261,-119.4179324
161,45.92950219999999,11.5621417
162,-34.5869034,-68.14314139999999
163,-33.9321045,18.860152
164,-33.9321045,18.860152
165,40.7127753,-74.0059728
166,-34.5869034,-68.14314139999999
167,43.8041334,-120.5542012
168,-30.0002315,136.2091547
169,,
170,42.817034,-1.6416672
171,37.09024,-95.712891
172,43.8041334,-120.5542012
173,43.8041334,-120.5542012
174,-34.5869034,-68.14314139999999
175,36.778261,-119.4179324
176,,
177,,
178,-33.9321045,18.860152
179,,
180,43.8041334,-120.5542012
181,-34.5869034,-68.14314139999999
182,36.778261,-119.4179324
183,-33.9321045,18.860152
184,-33.9321045,18.860152
185,-34.5869034,-68.14314139999999
186,47.9666667,16.6666667
187,36.3931562,25.4615092
188,-34.5869034,-68.14314139999999
189,-34.5869034,-68.14314139999999
190,43.8041334,-120.5542012
191,47.9271368,14.080665
192,43.7710513,11.2486208
193,43.8041334,-120.5542012
194,-34.5869034,-68.14314139999999
195,41.5911589,1.5208624
196,37.09024,-95.712891
197,-30.0002315,136.2091547
198,-34.5869034,-68.14314139999999
199,-33.8088442,-70.7644236
200,-32.653179,-70.0108675
201,47.7510741,-120.7401385
202,36.778261,-119.4179324
203,45.8011607,21.5119138
204,47.0525047,4.3837215
205,36.3931562,25.4615092
206,-39.6016597,176.5804473
207,-34.9859489,-71.2417746
208,-34.6761419,-71.097317
209,40.7127753,-74.0059728
210,-30.7462002,-71.0022311
211,-33.3182828,-71.4070899
212,48.9168895,4.151432499999999
213,29.7424338,-95.40908739999999
214,43.5912356,3.2583626
215,44.0144936,6.2116438
216,41.5911589,1.5208624
217,48.3181795,7.441624099999999
218,36.778261,-119.4179324
219,41.5911589,1.5208624
220,-33.9444044,-71.7375831
221,-33.61077240000001,-71.4572075
222,-36.9847807,143.3906074
223,-36.9847807,143.3906074
224,37.6868194,-97.2812611
225,-36.9847807,143.3906074
226,-30.0002315,136.2091547
227,45.0522366,7.5153885
228,48.1172148,21.4089015
229,36.778261,-119.4179324
230,47.0525047,4.3837215
231,37.6868194,-97.2812611
232,36.778261,-119.4179324
233,-36.9847807,143.3906074
234,47.0525047,4.3837215
235,37.6868194,-97.2812611
236,47.0525047,4.3837215
237,-30.0002315,136.2091547
238,45.0522366,7.5153885
239,36.778261,-119.4179324
240,47.0525047,4.3837215
241,43.8041334,-120.5542012
242,-30.0002315,136.2091547
243,45.92950219999999,11.5621417
244,-33.8088442,-70.7644236
245,45.4414662,12.3152595
246,45.92950219999999,11.5621417
